Name,Gender,Course,Round,Hole,Par,Score,FIR,GIR,Approach.Dist,Putts,Exp_Putts,strokesgained,PuttLength
Player 9,Male,Longue Vue Club,Qualifying,12,3,4,Not Applicable (PAR 3),Miss,176-200 yards,2,1.357,-0.643,6
Player 6,Male,Columbus Country Club,Tournament,1,4,4,Missed,Hit,101-125 yards,2,1.357,-0.643,6
Player 3,Male,San Destin Resort - Raven,Tournament,6,3,2,Not Applicable (PAR 3),Hit,151-175 yards,1,1.357,0.357,6
Player 4,Male,Indiana Country Club,Qualifying,8,4,3,Hit,Hit,126-150 yards,1,1.357,0.357,6
Player 8,Male,Sedgefield Country Club - Dye Course,Tournament,4,5,6,Missed,Miss,51-75 yards,2,1.357,-0.643,6
Player 11,Male,Nemacolin Resort - Shepards Rock,Qualifying,16,4,4,Hit,Hit,Less than 50 yards,2,1.357,-0.643,6
Player 3,Male,Indiana Country Club,Qualifying,12,4,5,Missed,Miss,101-125 yards,2,1.357,-0.643,6
Player 12,Male,San Destin Resort - Raven,Tournament,18,4,4,Missed,Miss,151-175 yards,1,1.357,0.357,6
Player 6,Male,Pittsburgh Field Club,Qualifying,13,3,3,Missed,Hit,Less than 50 yards,2,1.357,-0.643,6
Player 2,Male,Nemacolin Resort - Shepards Rock,Qualifying,10,4,6,Hit,Miss,151-175 yards,3,1.357,-1.643,6
Player 8,Male,Pittsburgh Field Club,Qualifying,4,3,4,Not Applicable (PAR 3),Miss,126-150 yards,2,1.357,-0.643,6
Player 15,Female,Avalon Lakes Golf Club,Qualifying,18,4,4,Hit,Miss,Less than 50 yards,1,1.357,0.357,6
Player 13,Male,Avalon Lakes Golf Club,Qualifying,2,4,4,Missed,Hit,126-150 yards,2,1.357,-0.643,6
Player 11,Male,Sedgefield Country Club - Dye Course,Tournament,4,5,6,Hit,Miss,76-100 yards,2,1.357,-0.643,6
Player 4,Male,Avalon Lakes Golf Club,Qualifying,3,5,4,Missed,Hit,Less than 50 yards,1,1.357,0.357,6
Player 16,Female,Nemacolin Resort - Shepards Rock,Qualifying,11,4,7,Missed,Miss,151-175 yards,3,1.357,-1.643,6
Player 5,Male,Longue Vue Club,Qualifying,17,4,5,Hit,Miss,201-225 yards,2,1.357,-0.643,6
Player 11,Male,Avalon Lakes Golf Club,Qualifying,7,4,5,Missed,Miss,151-175 yards,1,1.357,0.357,6
Player 11,Male,Columbus Country Club,Tournament,10,5,4,Missed,Hit,51-75 yards,1,1.357,0.357,6
Player 13,Male,Nemacolin Resort - Shepards Rock,Qualifying,9,5,6,Missed,Miss,101-125 yards,2,1.357,-0.643,6
Player 3,Male,Columbus Country Club,Tournament,18,5,5,Hit,Hit,51-75 yards,2,1.357,-0.643,6
Player 16,Female,Nemacolin Resort - Shepards Rock,Qualifying,16,4,5,Hit,Miss,101-125 yards,2,1.357,-0.643,6
Player 10,Male,Longue Vue Club,Qualifying,18,4,5,Missed,Miss,176-200 yards,2,1.357,-0.643,6
Player 11,Male,Longue Vue Club,Qualifying,12,3,2,Not Applicable (PAR 3),Hit,176-200 yards,1,1.357,0.357,6
Player 3,Male,Wigwam Gold Course,Tournament,2,4,4,Hit,Hit,76-100 yards,2,1.357,-0.643,6
Player 4,Male,Columbus Country Club,Tournament,3,4,4,Hit,Hit,101-125 yards,2,1.357,-0.643,6
Player 11,Male,Indiana Country Club,Qualifying,16,4,3,Hit,Hit,51-75 yards,1,1.357,0.357,6
Player 12,Male,Indiana Country Club,Qualifying,3,3,3,Not Applicable (PAR 3),Miss,201-225 yards,1,1.357,0.357,6
Player 12,Male,Nemacolin Resort - Shepards Rock,Qualifying,15,4,5,Hit,Miss,101-125 yards,2,1.357,-0.643,6
Player 4,Male,PGA National - Champions,Tournament,8,4,4,Missed,Hit,101-125 yards,2,1.443,-0.5569999999999999,7
Player 8,Male,Pittsburgh Field Club,Qualifying,16,3,4,Not Applicable (PAR 3),Miss,176-200 yards,2,1.443,-0.5569999999999999,7
Player 8,Male,Avalon Lakes Golf Club,Qualifying,1,4,4,Missed,Hit,151-175 yards,2,1.443,-0.5569999999999999,7
Player 4,Male,Nemacolin Resort - Shepards Rock,Qualifying,4,5,5,Missed,Miss,101-125 yards,1,1.443,0.44300000000000006,7
