"","Name","Course","Hole","Par","Score","Gender"
"388","Player 17","Avalon Lakes Golf Club","3",5,6,"Female"
"389","Player 18","Longue Vue Club","3",3,4,"Female"
"390","Player 19","Indiana Country Club","3",3,4,"Female"
"391","Player 15","Indiana Country Club","3",3,3,"Female"
"392","Player 20","Indiana Country Club","3",3,4,"Female"
"393","Player 16","Indiana Country Club","3",3,2,"Female"
"394","Player 21","Indiana Country Club","3",3,4,"Female"
"395","Player 21","PGA National - Palmer","3",4,4,"Female"
"396","Player 19","Longue Vue Club","3",3,5,"Female"
"397","Player 21","PGA National - Palmer","3",4,3,"Female"
"398","Player 16","Meadville Country Club","3",5,5,"Female"
"399","Player 20","Meadville Country Club","3",5,5,"Female"
"400","Player 16","Meadville Country Club","3",5,4,"Female"
"401","Player 20","Meadville Country Club","3",5,5,"Female"
"402","Player 16","Longue Vue Club","3",3,3,"Female"
"403","Player 21","San Destin Resort - Baytowne","3",3,3,"Female"
"404","Player 15","Avalon Lakes Golf Club","4",3,4,"Female"
"405","Player 16","Avalon Lakes Golf Club","4",3,3,"Female"
"406","Player 15","Nemacolin Resort - Shepards Rock","4",5,8,"Female"
"407","Player 15","Nemacolin Resort - Shepards Rock","4",5,7,"Female"
"408","Player 16","Nemacolin Resort - Shepards Rock","4",5,6,"Female"
"409","Player 16","Nemacolin Resort - Shepards Rock","4",5,5,"Female"
"410","Player 17","Avalon Lakes Golf Club","4",3,3,"Female"
"411","Player 18","Longue Vue Club","4",5,4,"Female"
"412","Player 19","Indiana Country Club","4",4,5,"Female"
"413","Player 15","Indiana Country Club","4",4,4,"Female"
"414","Player 20","Indiana Country Club","4",4,4,"Female"
"415","Player 16","Indiana Country Club","4",4,3,"Female"
"416","Player 21","Indiana Country Club","4",4,5,"Female"
"417","Player 21","PGA National - Palmer","4",5,4,"Female"
"418","Player 19","Longue Vue Club","4",5,5,"Female"
"419","Player 21","PGA National - Palmer","4",5,5,"Female"
"420","Player 16","Meadville Country Club","4",4,4,"Female"
"421","Player 20","Meadville Country Club","4",4,3,"Female"
"422","Player 16","Meadville Country Club","4",4,4,"Female"
"423","Player 20","Meadville Country Club","4",4,5,"Female"
"424","Player 16","Longue Vue Club","4",5,9,"Female"
"425","Player 21","San Destin Resort - Baytowne","4",4,4,"Female"
"426","Player 15","Avalon Lakes Golf Club","5",4,5,"Female"
"427","Player 16","Avalon Lakes Golf Club","5",4,4,"Female"
"428","Player 15","Nemacolin Resort - Shepards Rock","5",3,4,"Female"
"429","Player 15","Nemacolin Resort - Shepards Rock","5",3,4,"Female"
"430","Player 16","Nemacolin Resort - Shepards Rock","5",3,4,"Female"
"431","Player 16","Nemacolin Resort - Shepards Rock","5",3,4,"Female"
"432","Player 17","Avalon Lakes Golf Club","5",4,4,"Female"
"433","Player 18","Longue Vue Club","5",3,4,"Female"
"434","Player 19","Indiana Country Club","5",5,6,"Female"
"435","Player 15","Indiana Country Club","5",5,6,"Female"
"436","Player 20","Indiana Country Club","5",5,5,"Female"
"437","Player 16","Indiana Country Club","5",5,6,"Female"
"438","Player 21","Indiana Country Club","5",5,5,"Female"
"439","Player 21","PGA National - Palmer","5",3,3,"Female"
"440","Player 19","Longue Vue Club","5",3,3,"Female"
"441","Player 21","PGA National - Palmer","5",3,3,"Female"
"442","Player 16","Meadville Country Club","5",4,4,"Female"
"443","Player 20","Meadville Country Club","5",4,5,"Female"
"444","Player 16","Meadville Country Club","5",4,4,"Female"
"445","Player 20","Meadville Country Club","5",4,4,"Female"
"446","Player 16","Longue Vue Club","5",3,4,"Female"
"447","Player 21","San Destin Resort - Baytowne","5",5,6,"Female"
"448","Player 15","Avalon Lakes Golf Club","6",5,6,"Female"
"449","Player 16","Avalon Lakes Golf Club","6",5,5,"Female"
"450","Player 15","Nemacolin Resort - Shepards Rock","6",4,4,"Female"
"451","Player 15","Nemacolin Resort - Shepards Rock","6",4,5,"Female"
"452","Player 16","Nemacolin Resort - Shepards Rock","6",4,5,"Female"
